uid,startDate,endDate,analyte,sampleType,instrument,testMethod,method,qaReferenceID,standardReferenceKnownValue,standardReferenceMeasuredMean,analyteAccuracy,analyteStandardDeviation,analyteMetricsCount,laboratoryName,labSpecificStartDate,labSpecificEndDate,publicationDate
be437ee6-906e-4c26-ae66-b3506e0a8dd8,2017-07-03,2017-07-03,carbon,plant,Carlo Erba Model 1112 Flash Elemental Analyzer,ANSP P-16-54 Rev2,"US. Environmental Protection Agency. 1992. Determination of carbon and nitrogen in sediments and particulates of estuarine/coastal waters using elemental analysis. Method 440.0 In: Methods for the Determination of Chemical Substances in Marine and Estuarine Environmental Samples. EPA/600/R-92/121 ORD, Washington DC.",B2176,15.95,15.7,,0.26,,Academy of Natural Sciences of Drexel University,2014-01-01,,20220110T211623Z
8ecfff8d-7360-4bf7-a855-4da457ac623b,2017-07-03,2017-07-03,d34S,filter,GV IsoPrime Isotope Ratio Mass Spectrometer and Eurovector Elemental Analyser EuroEA3028-HT,SO2 EA-combustion-IRMS method,"",NBS-127 barium sulfate,20.3,21,,0.2,,Academy of Natural Sciences of Drexel University,2014-01-01,2016-02-05,20220110T211623Z
a84ce864-da94-411f-ad73-a3a4f267552d,2017-07-03,2017-07-03,phosphorus,filter,ALPKEM RFA 300,ANSP P-16-114 Rev2; ANSP P-16_95 Rev3,"",spinach,5180,4995,,223.2,,Academy of Natural Sciences of Drexel University,2014-01-01,,20220110T211623Z
414f56a5-d787-48f6-9f80-2c43af919463,2017-07-03,2017-07-03,d34S,filter,Vario Pyro Cube,"","Glesemann, A., H.-J. Jager, A. L. Norman, H. R. Krouse, and W. A. Brand. 1994. On-Line Sulfur-Isotope Determination Using an Elemental Analyzer Coupled to a Mass Spectrometer. Analytical Chemistry, 66:2816-2819.","",,,,,,Academy of Natural Sciences of Drexel University,2016-02-06,,20220110T211623Z
f0bda171-eab7-428d-a661-8fc6f4221fc8,2017-07-03,2017-07-03,nitrogen,filter,Carlo Erba Model 1112 Flash Elemental Analyzer,ANSP P-16-54 Rev2,"US. Environmental Protection Agency. 1992. Determination of carbon and nitrogen in sediments and particulates of estuarine/coastal waters using elemental analysis. Method 440.0 In: Methods for the Determination of Chemical Substances in Marine and Estuarine Environmental Samples. EPA/600/R-92/121 ORD, Washington DC.",Aspartic acid,10.52,10.77,,0.39,,Academy of Natural Sciences of Drexel University,2014-01-01,,20220110T211623Z
8db636f8-5354-4e34-9185-94832de3b74b,2017-07-03,2017-07-03,nitrogen,plant,Carlo Erba Model 1112 Flash Elemental Analyzer,ANSP P-16-54 Rev2,"US. Environmental Protection Agency. 1992. Determination of carbon and nitrogen in sediments and particulates of estuarine/coastal waters using elemental analysis. Method 440.0 In: Methods for the Determination of Chemical Substances in Marine and Estuarine Environmental Samples. EPA/600/R-92/121 ORD, Washington DC.",B2176,1.29,1.29,,0.06,,Academy of Natural Sciences of Drexel University,2014-01-01,,20220110T211623Z
b7d05206-70d5-467c-9cdd-efe57d752693,2017-07-03,2017-07-03,carbon,filter,Carlo Erba Model 1112 Flash Elemental Analyzer,ANSP P-16-54 Rev2,"US. Environmental Protection Agency. 1992. Determination of carbon and nitrogen in sediments and particulates of estuarine/coastal waters using elemental analysis. Method 440.0 In: Methods for the Determination of Chemical Substances in Marine and Estuarine Environmental Samples. EPA/600/R-92/121 ORD, Washington DC.",Aspartic acid,36.09,36.52,,0.88,,Academy of Natural Sciences of Drexel University,2014-01-01,,20220110T211623Z
1c4e6cc6-ea29-463b-bca9-25c5aa1bb41f,2017-07-03,2017-07-03,chlorophyll a,filter,Turner Designs TD-700 Fluorometer,ANSP P-16-92 Rev2,"Strickland, J. D. H. and T. R. Parsons. 1972. A Manual of Sea Water Analysis. Fisheries Research Board of Canada. Ottawa, Canada.; Parsons, T. R., Y. Maita, and C. M. Lalli. 1984. A Manual of Chemical and Biological Methods for Seawater Analysis. Pergamon Press, Oxford, England.",chlorophyll a from Anacystis nidulans algae,4000,4211,,,,Academy of Natural Sciences of Drexel University,2014-01-01,,20220110T211623Z
20295d52-9808-446a-96ae-79cc65cd8977,2017-07-03,2017-07-03,d15N,POM,Costech 2500 Elemental Analyzer and Delta Plus Mass Spectrometer,ANSP P-16-202 Rev0,"Revesz, K., H. Qi, Haiping, and T. B. Coplen. 2012. Determination of the d15N and d13C of total nitrogen and carbon in solids; RSIL lab code 1832. Chap. 5 in Book 10, Methods of the Reston Stable Isotope Laboratory. USGS, Reston, VA. 31 pp.",Aspartic acid,,,,0.14,,Academy of Natural Sciences of Drexel University,2014-01-01,,20220110T211623Z
4f8e8c44-7f9c-44c4-a6a6-9e6bc23a4766,2017-07-03,2017-07-03,d13C,POM,Costech 2500 Elemental Analyzer and Delta Plus Mass Spectrometer,ANSP P-16-202 Rev0,"Revesz, K., H. Qi, Haiping, and T. B. Coplen. 2012. Determination of the d15N and d13C of total nitrogen and carbon in solids; RSIL lab code 1832. Chap. 5 in Book 10, Methods of the Reston Stable Isotope Laboratory. USGS, Reston, VA. 31 pp.",Aspartic acid,,,,0.02,,Academy of Natural Sciences of Drexel University,2014-01-01,,20220110T211623Z
b0091ee8-4187-411a-bd14-25bc0829a0f1,2017-07-03,2017-07-03,pheophytin,filter,Turner Designs TD-700 Fluorometer,ANSP P-16-92 Rev2,"Strickland, J. D. H. and T. R. Parsons. 1972. A Manual of Sea Water Analysis. Fisheries Research Board of Canada. Ottawa, Canada.; Parsons, T. R., Y. Maita, and C. M. Lalli. 1984. A Manual of Chemical and Biological Methods for Seawater Analysis. Pergamon Press, Oxford, England.","",,,,,,Academy of Natural Sciences of Drexel University,2014-01-01,,20220110T211623Z
18df4bcf-cb99-4054-8087-604943310c6a,2020-02-24,2020-02-24,nitrogen,,EA,EA-combustion,EA-combustion,Spinach,5.95,5.61,0.34,0.03,,SIRFER Lab at University of Utah,2018-09-11,2018-09-12,20211222T042143Z
b52d6a7e-8ae0-41f4-b3a8-0a4bfdb865c6,2020-02-24,2020-02-24,d34S,,EA,EA-combustion,EA-combustion,UU-S-5,16.9,16.6,0.3,0.29,,SIRFER Lab at University of Utah,2018-12-03,2018-12-04,20211222T042143Z
2325764b-d8ec-48bf-b129-55bc47dc2b4a,2020-02-24,2020-02-24,d15N,,EA,EA-combustion,EA-combustion,UU-CN-2,-4.6,-4.53,-0.07,0.19,,SIRFER Lab at University of Utah,2019-01-11,2019-01-23,20211222T042143Z
197fdc77-5887-4088-9393-7b127319b425,2020-02-24,2020-02-24,carbon,,EA,EA-combustion,EA-combustion,UU-CN-1,43.71,43.65,0.06,0.12,,SIRFER Lab at University of Utah,2018-12-03,2018-12-04,20211222T042143Z
59fa6c66-8cba-47ac-bfab-f3e14758073a,2020-02-24,2020-02-24,d15N,,EA,EA-combustion,EA-combustion,UU-CN-2,-4.6,-4.56,-0.04,0.19,,SIRFER Lab at University of Utah,2018-08-16,2018-08-24,20211222T042143Z
5e05d54f-b782-484d-9e4e-22cf4b89a1c7,2020-02-24,2020-02-24,sulfur,,EA,EA-combustion,EA-combustion,UU-S-2,32.91,32.95,-0.04,0.3,,SIRFER Lab at University of Utah,2018-12-12,2018-12-14,20211222T042143Z
4bb2c9d1-3f29-47dd-a4ea-583a12201888,2020-02-24,2020-02-24,d34S,,EA,EA-combustion,EA-combustion,UU-S-5,16.9,16.72,0.18,0.27,,SIRFER Lab at University of Utah,2018-10-30,2019-01-03,20211222T042143Z
426a3318-4aa3-4b33-8ad4-b5dc31174861,2020-02-24,2020-02-24,carbon,,EA,EA-combustion,EA-combustion,UU-CN-2,40.81,40.49,0.32,0.43,,SIRFER Lab at University of Utah,2018-11-08,2018-11-09,20211222T042143Z
d77da63a-cd38-4336-b925-0d995fd5a9a4,2020-02-24,2020-02-24,d34S,,EA,EA-combustion,EA-combustion,UU-S-2,-31.94,-31.94,0,0.2,,SIRFER Lab at University of Utah,2019-02-06,2019-02-07,20211222T042143Z
e63bbeac-1e8a-4a55-bda4-34b0188a3022,2020-02-24,2020-02-24,carbon,,EA,EA-combustion,EA-combustion,Spinach,40.53,40.62,-0.09,0.3,,SIRFER Lab at University of Utah,2018-10-30,2018-11-01,20211222T042143Z
39524b5f-e5dc-472d-8f5d-40b319098260,2020-02-24,2020-02-24,d34S,,EA,EA-combustion,EA-combustion,UU-S-1,17.94,17.94,0,0.48,,SIRFER Lab at University of Utah,2019-01-10,2019-01-11,20211222T042143Z
d64dbacf-8eb1-480b-bcd9-e7e4ed1eec20,2020-02-24,2020-02-24,d13C,,EA,EA-combustion,EA-combustion,UU-CN-1,23.96,23.96,0,0.21,,SIRFER Lab at University of Utah,2018-10-15,2018-10-16,20211222T042143Z
ef41d543-c9b3-4d9c-b139-0cb08dc7604b,2020-02-24,2020-02-24,carbon,,EA,EA-combustion,EA-combustion,Spinach,40.53,40.17,0.36,0.08,,SIRFER Lab at University of Utah,2018-09-20,2018-09-24,20211222T042143Z
c9664a90-7a38-46a1-b2c1-9628a2a364c3,2020-02-24,2020-02-24,d15N,,EA,EA-combustion,EA-combustion,UU-CN-2,-4.6,-4.56,-0.04,0.11,,SIRFER Lab at University of Utah,2018-10-30,2018-11-01,20211222T042143Z
68795407-2ec2-467a-8d5d-343f020cf177,2020-02-24,2020-02-24,carbon,,EA,EA-combustion,EA-combustion,Spinach,40.53,40.45,0.08,0.3,,SIRFER Lab at University of Utah,2018-08-13,2018-08-14,20211222T042143Z
1d50a105-22bf-484b-823d-dc8b83cfe9a2,2020-02-24,2020-02-24,sulfur,,EA,EA-combustion,EA-combustion,UU-S-2,32.91,33.12,-0.21,0.76,,SIRFER Lab at University of Utah,2018-10-27,2018-10-30,20211222T042143Z
3c2cbdd4-9548-4ccc-939d-394a4a054b5b,2020-02-24,2020-02-24,sulfur,,EA,EA-combustion,EA-combustion,UU-S-2,32.91,32.88,0.03,0.11,,SIRFER Lab at University of Utah,2018-11-25,2018-11-26,20211222T042143Z
